Layer,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16
L0 (Character Composition),0,2,1,2,2,2,0,0,0,1,2,0,0,2,0,0,0
L1 (Character Symbols),2,0,1,2,2,2,1,0,0,1,2,0,0,2,0,0,0
L2 (Character Paired Data),1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0
L3 (Word Structure),2,2,1,0,2,2,0,0,0,1,2,0,0,2,0,0,0
L4 (Sentence Structure),2,2,1,2,0,2,0,0,0,1,2,0,0,2,0,0,0
L5 (Verse Structure),2,2,1,2,2,0,0,0,0,1,2,0,0,2,0,0,0
L6 (Surah Structure),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7 (Division Structure),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8 (Chapter Structure),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L9 (Qiraat/Manuscript),1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
L10 (Edition Variants),2,2,1,2,2,2,0,0,0,1,0,0,0,2,0,0,0
L11 (Page Layout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L12 (Line Layout),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L13 (Orthographic Systems),2,2,1,2,2,2,0,0,0,1,2,0,0,0,0,0,0
L14 (Readers/Narrators),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L15 (Layer 15 (TBD)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L16 (Layer 16 (TBD)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
